book,price,amount,oid,side,amount_minor,amount_major
usd_mxn,24.0,10.0,EiNMEd6UW32Ndg6H,ask,240.0,10.0
usd_mxn,24.0,1000.0,g4mQDm21kJLbJNEp,ask,24000.0,1000.0
usd_mxn,24.0,5.0,6RDVpwxVlpq0zN0r,ask,120.0,5.0
usd_mxn,24.0,375.32,lHyW2Qydne80lav8,ask,9007.68,375.32
usd_mxn,24.0,16.3,p8xXiIt0S75O1alp,ask,391.20000000000005,16.3
usd_mxn,24.0,124.78,4Cs3dIxDdhwY7wOx,ask,2994.7200000000003,124.78
usd_mxn,24.0,127.86,tKvwOCVD1UaigX04,ask,3068.64,127.86
usd_mxn,24.0,1.01,epIJF6uYtR1KEV7q,ask,24.240000000000002,1.01
usd_mxn,24.0,11.04,jAShpJvxswLTCyOW,ask,264.96,11.04
usd_mxn,24.0,718.57,E6AFbAkWzQXqRCre,ask,17245.68,718.57
usd_mxn,24.0,275.0,8nMpT47K4Re2YGCM,ask,6600.0,275.0
usd_mxn,24.0,476.45,eRDpKzJKdlGCaEj1,ask,11434.8,476.45
usd_mxn,24.0,20.0,IxnLZG3YpwDEm93w,ask,480.0,20.0
usd_mxn,24.0,500.0,7jlLAlNKnn3HXrdm,ask,12000.0,500.0
usd_mxn,24.0,55.8,QZGHpsqBLqWdPE89,ask,1339.1999999999998,55.8
usd_mxn,24.0,578.34,tgztZPfBGhOdq0Fc,ask,13880.16,578.34
usd_mxn,24.0,3643.87,Bm26ccMH62XsSMee,ask,87452.88,3643.87
usd_mxn,24.0,50.0,7b5HVD03f5Hnbxcw,ask,1200.0,50.0
usd_mxn,24.0,7.7,W09L9fHBaeJ5lGEV,ask,184.8,7.7
usd_mxn,24.0,1.0,JROIVhFPhb1fjPaX,ask,24.0,1.0
usd_mxn,24.0,20.88639984,GRlHp1tg4iP6Athe,ask,501.27359616,20.88639984
usd_mxn,24.0,55760.6,gwdWsGogcYmuB65e,ask,1338254.4,55760.6
usd_mxn,23.999,3.72,rm9pSncLh3O6QJDL,ask,89.27628,3.72
usd_mxn,23.965,20.88639984,y8pNQuz0JWcfazIT,ask,500.5425721656,20.88639984
usd_mxn,23.9604,25.36,jIGMIM1kZlZUEDOY,ask,607.6357439999999,25.36
usd_mxn,23.929,20.88639984,iuFqr65yAIgNqpB2,ask,499.79066177135996,20.88639984
usd_mxn,23.905,2.51,DwOVxMWNNBDQ5Y2g,ask,60.001549999999995,2.51
usd_mxn,23.895,20.88639984,EIPazltWkHjd7QDt,ask,499.0805241768,20.88639984
usd_mxn,23.885,500.0,L916uFcxXnBzux61,ask,11942.5,500.0
usd_mxn,23.859,20.88639984,US7gKLjeMkeySzxS,ask,498.32861378256,20.88639984
usd_mxn,23.824,20.88639984,raeb8pU56o8USCEy,ask,497.59758978816,20.88639984
usd_mxn,23.789,10.0,WUOiQMRg0BAjG2h2,ask,237.89000000000001,10.0
